,Location,Total H2 production,Peak hourly H2,H2 pressure
Stadtwerke Tübingen,Tübingen,65000,5.237711523,40
Farinetz GmbH,Reutlingen,15600,1.257050766,40
Stadtwerke Mössingen,Mössingen,13000,1.047542305,40
Green Innovation Park GmbH,Rosenfeld,65000,5.237711523,40
SolarComplex,Münsingen,71742,8.189726027,40
SOWITEC (2 MWp PV),Burladingen,42966,4.904794521,40
Schwörer Haus (600 kWp PV),Hohenstein,20565,2.34760274,40
SAB,Bahnhof Münsingen,7218,0.823972603,40
SOWITEC (18 MW wind),Sonnenbühl,164759,18.80804795,40
SOWITEC (1.8 MW wind),Burladingen,61619,7.034075342,40
